Date,Description,Amount (BRL)
09 JAN,Metavet - Parcela 3/3,"168,00"
09 JAN,Alessandronikolas - Parcela 2/2,"210,00"
09 JAN,Shopping do Nu - NuPay - Parcela 3/3,"58,51"
09 JAN,Luidgispeciale - Parcela 2/5,"73,96"
10 JAN,Pao de Acucar-1281,"107,13"
10 JAN,Superm Princesa Lj,"71,58"
10 JAN,Paypal *Tidal,"21,90"
10 JAN,Hortifruti da Bella,"23,02"
11 JAN,Dl *Google X,"19,99"
11 JAN,Rosselyviard,"9,00"
11 JAN,Grao da Terra Copacaba,"52,75"
11 JAN,Supermercado Ultra,"120,92"
11 JAN,Magal S Bar,"6,00"
12 JAN,Cafe Flamengo Lanches,"14,80"
12 JAN,Hortifruti da Bella,"9,98"
12 JAN,Zona Sul Fl,"104,22"
12 JAN,Raia1940,"26,42"
12 JAN,Pao de Acucar-1513,"33,29"
12 JAN,Pet Store,"107,90"
12 JAN,Tabacaria de Letras,"25,90"
12 JAN,Dl *Google Twitter,"109,99"
13 JAN,Magal S Bar,"140,00"
13 JAN,Tabacaria de Letras,"6,00"
13 JAN,Sushibarcellos,"24,20"
13 JAN,Pao de Acucar-1281,"30,04"
13 JAN,Pedros Restaurante,"34,00"
13 JAN,Nubank Vida,"8,98"
13 JAN,Magal S Bar,"16,00"
13 JAN,Pao de Acucar-1281,"36,41"
13 JAN,Pao de Acucar 1281 Mar,"39,53"
14 JAN,Selfitbarodeitamb,"129,90"
15 JAN,Amazon Marketplace - Parcela 1/2,"95,72"
15 JAN,Magal S Bar,"6,00"
15 JAN,Hortifruti da Bella,"29,53"
15 JAN,"IOF de ""Claude.Ai Subscription""","3,84"
15 JAN,Claude.Ai Subscription,"113,70"
15 JAN,Supermercado Ultra,"116,22"
16 JAN,Pao de Acucar-1281,"23,20"
16 JAN,Raia1940,"76,18"
16 JAN,Magal S Bar,"27,00"
16 JAN,Padaria Napoles,"19,00"
16 JAN,Hortifruti da Bella,"19,04"
16 JAN,Casa Azul Flamengo,"25,00"
16 JAN,Pill Cosmeticos - Parcela 1/3,"51,64"
18 JAN,Paraiso do Flamengo,"36,48"
18 JAN,Dragaria Norte Sul,"19,88"
18 JAN,Pao de Acucar-1281,"57,39"
19 JAN,Mariadeusamardasi,"25,50"
19 JAN,Amazon Kindle Unltd,"19,90"
19 JAN,Mariadeusamardasi,"42,00"
19 JAN,Tabacaria de Letras,"30,00"
19 JAN,Posto Stella de Abast,"20,00"
19 JAN,Mariadeusamardasi,"13,50"
19 JAN,Pao de Acucar-1281,"48,48"
19 JAN,Urca Grill Delivery,"27,20"
19 JAN,Bar Urca,"44,00"
19 JAN,Bar Urca,"49,00"
19 JAN,Mp *Barraca,"50,00"
20 JAN,Magal S Bar,"101,00"
20 JAN,Hortifruti da Bella,"74,03"
20 JAN,Sushibarcellos,"137,50"
20 JAN,Paypal *Google Google,"11,99"
20 JAN,Magal S Bar,"34,00"
20 JAN,Paypal *Medium.Com,"33,16"
20 JAN,"IOF de ""Paypal *Medium.Com""","1,12"
20 JAN,Paypal *Google Google,"7,99"
20 JAN,Panificacao Benamor,"65,40"
20 JAN,Pao de Acucar-1281,"50,88"
21 JAN,Hortifruti da Bella,"39,87"
22 JAN,Supermercado Ultra,"99,31"
22 JAN,Sergioleandrode,"30,00"
22 JAN,Magal S Bar,"26,00"
22 JAN,Pao de Acucar-1281,"79,06"
22 JAN,Padaria Napoles,"15,00"
22 JAN,Amazon Prime Aluguel,"29,90"
23 JAN,Drogarias Pacheco,"21,18"
23 JAN,Magal S Bar,"29,00"
23 JAN,Blizzard Entertainment,"41,46"
23 JAN,Supermercado Ultra,"87,05"
23 JAN,Sergioleandrode,"20,00"
23 JAN,"IOF de ""Blizzard Entertainment""","1,40"
23 JAN,Zona Sul Fl,"24,73"
23 JAN,Elias,"100,33"
23 JAN,Pao de Acucar-1281,"39,20"
23 JAN,Zona Sul Fl,"59,05"
25 JAN,Panificacao Benamor,"64,95"
25 JAN,Zona Sul Pizzaria,"22,50"
25 JAN,Superm Princesa Lj,"13,98"
25 JAN,Paypal *Zygorguides,"65,05"
25 JAN,Zona Sul Fl,"52,48"
25 JAN,Zona Sul Pizzaria,"22,49"
25 JAN,Mais1 Cafe Rj/Rio de J,"29,40"
25 JAN,Sergioleandrode,"20,00"
25 JAN,Pura Chama,"79,20"
25 JAN,Zona Sul Fl,"19,00"
25 JAN,"IOF de ""Paypal *Zygorguides""","2,19"
25 JAN,Zona Sul Fl,"46,97"
25 JAN,Porto Fino,"16,00"
26 JAN,Porto Fino,"36,00"
26 JAN,Casa do Pao,"32,17"
26 JAN,Junior,"40,00"
26 JAN,Drogaria Venancio,"12,19"
26 JAN,Barportofino,"10,00"
26 JAN,Porto Fino,"67,50"
26 JAN,Zona Sul Fl,"186,19"
27 JAN,Magal S Bar,"53,00"
27 JAN,Magal S Bar,"58,00"
27 JAN,Google Youtubepremium,"41,90"
27 JAN,Banca Pao de Acucar,"17,00"
27 JAN,Apple.Com/Bill,"329,90"
27 JAN,Raia1940,"26,42"
28 JAN,Superm Princesa Lj,"20,98"
28 JAN,Magal S Bar,"20,00"
28 JAN,Cafe Flamengo Lanches,"13,20"
28 JAN,Supermercado Ultra,"14,99"
28 JAN,Banca Universit,"13,00"
28 JAN,Porto Fino,"5,00"
29 JAN,Paraiso do Flamengo,"43,77"
30 JAN,Paypal *Ufc,"29,90"
30 JAN,Hortifruti Marques de,"98,06"
30 JAN,Magal S Bar,"6,00"
30 JAN,Grao da Terra Copacaba,"52,99"
31 JAN,Superm Princesa Lj,"74,31"
31 JAN,Sergioleandrode,"20,00"
01 FEV,Magal S Bar,"17,00"
01 FEV,Cafe Flamengo Lanches,"43,56"
01 FEV,Porto Fino,"25,00"
01 FEV,Pao de Acucar-1281,"72,69"
01 FEV,Porto Fino,"22,00"
02 FEV,Mp *Paizao,"25,00"
02 FEV,Zona Sul Pizzaria,"26,00"
02 FEV,Gabrielferreira,"40,00"
02 FEV,Zona Sul Fl,"94,32"
02 FEV,Zona Sul Pizzaria,"42,93"
02 FEV,Caldo de Cana Rio,"8,00"
02 FEV,Porto Fino,"78,00"
02 FEV,Cafe e Bar Maia,"4,00"
02 FEV,Zona Sul Pizzaria,"23,77"
02 FEV,Zona Sul Pizzaria,"23,00"
02 FEV,Rosas Beach - Parcela 1/2,"50,00"
03 FEV,Amazon Music,"21,90"
03 FEV,Porto Fino,"20,00"
03 FEV,Magal S Bar,"50,00"
03 FEV,Zona Sul Fl,"38,77"
03 FEV,Magal S Bar,"6,00"
03 FEV,Tabacaria de Letras,"25,00"
03 FEV,Hortifruti da Bella,"6,26"
03 FEV,Michelegomesdasil,"92,50"
04 FEV,Paraiso do Flamengo Ba,"69,53"
04 FEV,Superm Princesa Lj,"81,47"
04 FEV,Amazon Marketplace - Parcela 1/3,"76,37"
05 FEV,Zona Sul Fl,"93,60"
05 FEV,Juarez de Souza Marti,"12,00"
05 FEV,Sergioleandrode,"10,00"
06 FEV,Paraiso do Flamengo Ba,"53,61"
06 FEV,Maria Celina Dias,"30,00"
06 FEV,Porto Fino,"26,00"
06 FEV,Cafe Flamengo Lanches,"13,20"
07 FEV,Padaria Napoles,"4,00"
07 FEV,"IOF de ""Paypal *Udemy""","1,10"
07 FEV,Paypal *Udemy,"32,73"
07 FEV,Raia119,"20,24"
07 FEV,Supermercado Ultra,"105,12"
07 FEV,Lanchonete Careta,"27,00"
08 FEV,"IOF de ""Openai *Chatgpt Subscr""","4,04"
08 FEV,Magal S Bar,"12,00"
08 FEV,Paypal *Udemy,"32,68"
08 FEV,"IOF de ""Paypal *Udemy""","1,10"
08 FEV,Zona Sul Fl,"202,02"
08 FEV,Openai *Chatgpt Subscr,"119,72"
